Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Christmas Island,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,2.0,,,,1.0,,,,,,,
Cocos (Keeling) Islands,,1.0,,,,,1.0,,,,2.0,4.0,,4.0,1.0,1.0,,,,,,,,,,,,,
Colombia,579.0,663.0,645.0,758.0,875.0,836.0,1049.0,1151.0,1351.0,1575.0,2180.0,2438.0,3498.0,4162.0,4757.0,5513.0,6429.0,7086.0,7907.0,8754.0,10211.0,11400.0,12695.0,14586.0,16164.0,17014.0,16467.0,16536.0,17025.0
Comoros,1.0,2.0,,3.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,9.0,2.0,3.0,6.0,11.0,5.0,19.0,5.0,8.0,17.0,13.0,20.0,20.0,21.0,22.0,18.0,43.0,38.0
Congo,44.0,45.0,66.0,51.0,51.0,38.0,53.0,82.0,91.0,120.0,148.0,159.0,152.0,173.0,215.0,245.0,287.0,332.0,437.0,429.0,427.0,414.0,452.0,435.0,407.0,438.0,473.0,425.0,498.0
Cook Islands,3.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,6.0,,3.0,4.0,8.0,8.0,7.0,10.0,7.0,8.0,9.0,7.0,9.0,7.0,4.0,11.0,16.0,10.0
Costa Rica,268.0,286.0,263.0,224.0,228.0,280.0,300.0,297.0,384.0,430.0,447.0,490.0,485.0,530.0,573.0,590.0,649.0,635.0,796.0,809.0,950.0,1043.0,1146.0,1333.0,1540.0,1670.0,1641.0,1567.0,1696.0
Croatia,1787.0,1711.0,1867.0,1941.0,2230.0,2332.0,2642.0,3107.0,3241.0,3896.0,3859.0,4480.0,4788.0,5458.0,5596.0,6395.0,6398.0,6342.0,6221.0,6374.0,6438.0,6973.0,7464.0,7768.0,8645.0,9733.0,9811.0,9792.0,9289.0
Cuba,796.0,942.0,1168.0,1272.0,1288.0,1383.0,1373.0,1142.0,1189.0,1440.0,1828.0,1781.0,1778.0,2066.0,1917.0,2233.0,2262.0,2303.0,2290.0,2163.0,2010.0,1939.0,2049.0,2278.0,2486.0,2773.0,2500.0,2142.0,2104.0
Curaçao,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,12.0,32.0,42.0,60.0,66.0,61.0
Cyprus,162.0,215.0,234.0,227.0,265.0,230.0,329.0,333.0,473.0,586.0,659.0,799.0,934.0,1220.0,1382.0,1477.0,1613.0,1867.0,1788.0,1888.0,2188.0,2574.0,2775.0,3134.0,3674.0,4157.0,4465.0,4652.0,4913.0
Czech Republic,5447.0,5857.0,5946.0,6312.0,6662.0,7276.0,7742.0,8547.0,9380.0,10467.0,11735.0,13074.0,13917.0,14665.0,16416.0,17677.0,18733.0,19710.0,22282.0,23402.0,23808.0,24938.0,24660.0,25982.0,25821.0,27037.0,25635.0,24976.0,25996.0
Côte d’Ivoire,110.0,182.0,182.0,187.0,153.0,127.0,141.0,180.0,189.0,183.0,203.0,252.0,322.0,311.0,316.0,347.0,380.0,316.0,358.0,400.0,390.0,426.0,550.0,661.0,694.0,881.0,784.0,836.0,839.0
Democratic Republic Congo,24.0,12.0,14.0,29.0,11.0,7.0,15.0,6.0,12.0,17.0,20.0,18.0,27.0,49.0,42.0,42.0,54.0,45.0,36.0,83.0,96.0,157.0,175.0,279.0,465.0,644.0,708.0,740.0,777.0
