Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Tonga,,4.0,3.0,3.0,4.0,2.0,3.0,8.0,7.0,3.0,9.0,8.0,4.0,10.0,7.0,12.0,6.0,6.0,8.0,13.0,13.0,20.0,23.0,18.0,29.0,23.0,25.0,24.0,26.0
Trinidad and Tobago,107.0,104.0,133.0,109.0,126.0,149.0,181.0,190.0,218.0,266.0,243.0,298.0,282.0,363.0,348.0,388.0,344.0,322.0,407.0,308.0,358.0,374.0,418.0,433.0,442.0,489.0,491.0,501.0,479.0
Tunisia,450.0,611.0,683.0,744.0,830.0,1012.0,1216.0,1347.0,1728.0,2176.0,2598.0,3003.0,3623.0,4275.0,4636.0,5127.0,5305.0,5832.0,6387.0,6984.0,7897.0,8558.0,7785.0,7910.0,8215.0,8804.0,9678.0,9524.0,10829.0
Turkey,5649.0,6045.0,6506.0,7665.0,7724.0,9491.0,12167.0,15167.0,18091.0,19982.0,22174.0,24325.0,25076.0,29286.0,31545.0,33080.0,34471.0,37193.0,37681.0,40742.0,43820.0,42065.0,42511.0,48715.0,54617.0,62227.0,66933.0,68906.0,75868.0
Turkmenistan,14.0,12.0,10.0,6.0,14.0,12.0,11.0,8.0,7.0,10.0,12.0,9.0,5.0,8.0,13.0,33.0,46.0,16.0,45.0,20.0,12.0,17.0,11.0,12.0,20.0,39.0,39.0,56.0,83.0
Turks and Caicos Islands,,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,6.0,3.0,8.0,9.0,5.0,5.0,3.0,11.0,4.0,8.0,14.0,5.0
Tuvalu,,,,,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,6.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,6.0,2.0,5.0
Uganda,136.0,167.0,180.0,195.0,221.0,222.0,211.0,281.0,391.0,414.0,453.0,558.0,558.0,700.0,884.0,978.0,1036.0,1074.0,1206.0,1370.0,1439.0,1662.0,1707.0,1936.0,2305.0,2858.0,3019.0,3260.0,3496.0
Ukraine,5821.0,6338.0,6697.0,6298.0,6456.0,7745.0,7076.0,7114.0,7207.0,7523.0,6861.0,6868.0,7265.0,7139.0,7620.0,8124.0,8849.0,9894.0,10182.0,10680.0,11138.0,12514.0,14298.0,19804.0,22039.0,22951.0,20698.0,22153.0,21257.0
United Arab Emirates,408.0,406.0,435.0,387.0,502.0,555.0,614.0,863.0,922.0,1198.0,1383.0,1435.0,1599.0,1937.0,2290.0,2628.0,2992.0,3279.0,3556.0,4561.0,5194.0,6124.0,6780.0,8619.0,10110.0,12302.0,15181.0,18068.0,20561.0
United Kingdom,86853.0,92030.0,93294.0,92154.0,98888.0,94266.0,97399.0,103092.0,109753.0,119215.0,125829.0,129907.0,130875.0,139314.0,142521.0,147227.0,153526.0,160092.0,162820.0,169355.0,173855.0,178796.0,183745.0,188386.0,197620.0,210926.0,204044.0,199385.0,211490.0
United States,353137.0,352993.0,349248.0,344534.0,356437.0,356582.0,377872.0,401765.0,432430.0,467598.0,477217.0,469052.0,473835.0,504566.0,520699.0,537087.0,553892.0,564890.0,569505.0,577971.0,586390.0,597514.0,611411.0,615290.0,634028.0,657046.0,627016.0,611029.0,636319.0
United States Minor Outlying Islands,,,,,1.0,2.0,,1.0,,,,1.0,1.0,3.0,1.0,,1.0,5.0,,2.0,,1.0,2.0,1.0,,,0.0,1.0,2.0
Uruguay,265.0,332.0,335.0,335.0,369.0,362.0,412.0,463.0,514.0,581.0,609.0,640.0,769.0,849.0,876.0,1020.0,1036.0,1074.0,1334.0,1297.0,1500.0,1451.0,1708.0,1893.0,1979.0,2348.0,2167.0,2189.0,2300.0
Uzbekistan,398.0,462.0,396.0,418.0,426.0,476.0,406.0,425.0,484.0,468.0,471.0,481.0,434.0,522.0,548.0,574.0,496.0,533.0,524.0,460.0,588.0,580.0,645.0,1557.0,3485.0,3341.0,3568.0,6660.0,7858.0
Vanuatu,4.0,8.0,4.0,11.0,9.0,4.0,8.0,11.0,17.0,23.0,14.0,8.0,13.0,21.0,20.0,25.0,22.0,28.0,31.0,35.0,46.0,34.0,30.0,42.0,48.0,47.0,52.0,35.0,48.0
Vatican City State,,,,1.0,1.0,,,,3.0,1.0,,0.0,0.0,,1.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,6.0,7.0,4.0,5.0,8.0,9.0,13.0
Venezuela,1047.0,1262.0,1228.0,1310.0,1389.0,1425.0,1481.0,1631.0,1586.0,1851.0,1981.0,1974.0,2231.0,2333.0,2137.0,1889.0,1972.0,1865.0,1925.0,1689.0,1569.0,1635.0,1489.0,1599.0,1525.0,1616.0,1354.0,1291.0,1166.0
Viet Nam,294.0,336.0,317.0,365.0,394.0,427.0,451.0,639.0,699.0,839.0,948.0,1084.0,1456.0,1672.0,2084.0,2295.0,3014.0,3575.0,3813.0,4375.0,5616.0,6377.0,8516.0,12308.0,17443.0,17484.0,17344.0,18105.0,20873.0
Virgin Islands (British),,2.0,2.0,5.0,3.0,4.0,,0.0,2.0,2.0,7.0,15.0,8.0,15.0,6.0,13.0,6.0,9.0,8.0,5.0,9.0,6.0,4.0,6.0,7.0,9.0,12.0,5.0,6.0
Virgin Islands (U.S.),10.0,7.0,9.0,6.0,8.0,12.0,4.0,13.0,11.0,14.0,17.0,9.0,12.0,7.0,10.0,5.0,9.0,7.0,14.0,8.0,6.0,10.0,16.0,10.0,13.0,24.0,27.0,24.0,24.0
Wallis and Futuna,,,,,,,,,,1.0,,2.0,1.0,1.0,2.0,2.0,,2.0,,2.0,,1.0,,2.0,3.0,0.0,2.0,1.0,
Western Sahara,,,,,,,,,,,,,1.0,3.0,1.0,,,,,2.0,,,,,,1.0,1.0,,
Yemen,34.0,49.0,48.0,47.0,45.0,66.0,42.0,50.0,68.0,77.0,103.0,99.0,132.0,187.0,218.0,266.0,299.0,344.0,381.0,327.0,374.0,452.0,525.0,711.0,1086.0,1580.0,1833.0,1704.0,1779.0
Zambia,85.0,120.0,110.0,101.0,78.0,107.0,100.0,105.0,98.0,133.0,159.0,185.0,209.0,203.0,247.0,282.0,313.0,347.0,399.0,440.0,517.0,596.0,588.0,649.0,811.0,954.0,1063.0,1075.0,1122.0
Zimbabwe,346.0,374.0,325.0,379.0,345.0,316.0,281.0,326.0,263.0,261.0,308.0,352.0,290.0,284.0,324.0,352.0,440.0,476.0,610.0,591.0,716.0,808.0,926.0,977.0,1131.0,1292.0,1388.0,1287.0,1301.0
